OfferedLoad,TopologyNumber,nSta,RngRun,Distance,PayloadSize,SourceIP,DestinationIP,Throughput,Delay,RtsCts
200,C,1,2,15,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,2,15,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,2,15,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,A,1,2,15,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,3,15,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,A,1,3,15,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,B,1,3,15,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,3,15,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,D,1,4,15,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,B,1,4,15,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,A,1,4,15,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,4,15,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,A,1,1,20,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,1,20,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,1,20,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,1,20,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,C,1,2,20,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,2,20,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,2,20,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,A,1,2,20,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,3,20,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,A,1,3,20,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,B,1,3,20,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,3,20,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,D,1,4,20,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,B,1,4,20,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,A,1,4,20,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,4,20,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,A,1,1,30,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,1,30,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,1,30,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,1,30,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,C,1,2,30,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,B,1,2,30,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,2,30,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,A,1,2,30,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,3,30,1472,192.168.3.2,192.168.3.1,-0,-nan,1
200,A,1,3,30,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,B,1,3,30,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,D,1,3,30,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,D,1,4,30,1472,192.168.4.2,192.168.4.1,-0,-nan,1
200,B,1,4,30,1472,192.168.2.2,192.168.2.1,-0,-nan,1
200,A,1,4,30,1472,192.168.1.2,192.168.1.1,-0,-nan,1
200,C,1,4,30,1472,192.168.3.2,192.168.3.1,-0,-nan,1
